trading_code,opening_price,closing_price,yesterdays_closing_price,trade,value_mn,volume
BATBC,-0.49421850636607684,-0.4255161591550996,-0.4940705482204107,0.3673784484660197,-0.0707167408015255,-0.2182562164754113
BATBC,-0.4941880694969168,-0.42554135554829503,-0.49405026161849924,0.1446587393663516,-0.11631577409495251,-0.2344818083426124
BATBC,-0.4941880694969168,-0.42554135554829503,-0.49405026161849924,0.1446587393663516,-0.11631577409495251,-0.2344818083426124
BATBC,-0.49420328793149676,-0.4255637523422465,-0.4940730840456496,-0.006177889018608802,-0.19349844825351672,-0.2630150013899214
BATBC,-0.4942489432352368,-0.42551895875434353,-0.49409337064756104,0.5464969446731601,0.002208751401472042,-0.19036182625751963
BATBC,-0.4942007515257335,-0.42553015715131925,-0.49405279744373815,0.08102453676644643,-0.17421101998049707,-0.25628627825339184
BATBC,-0.4942058243372602,-0.4255637523422465,-0.4940629407446939,-0.02031882292969884,-0.19675638945667656,-0.26425002019346167
BATBC,-0.4942261155833668,-0.42544336957475726,-0.49409337064756104,0.5394264777176151,-0.044222982518960674,-0.2085890003235618
BATBC,-0.4941018317009635,-0.42533138560499983,-0.49398433016228693,1.0320023422872513,0.20630714466651623,-0.12665189073696095
BATBC,-0.49400037547043024,-0.42538737758987855,-0.49388289715272965,0.36148639266973215,-0.06146335508392463,-0.21740447936952145
BATBC,-0.4940992952952002,-0.4253761791929028,-0.4939336136575083,0.29078172311428196,-0.10850747092380109,-0.23431146092143443
BATBC,-0.49402320312230025,-0.4252977904140726,-0.49392347035655265,0.6725869387137129,0.030902227173710297,-0.18742333324219973
BATBC,-0.4939876934416136,-0.4252557964254136,-0.4938524672498624,1.5104372729457975,0.3214973980689721,-0.09053823744723252
BATBC,-0.4938963828341337,-0.4250850208715335,-0.4938144298712785,1.5387191407679777,0.3895602655688509,-0.07303503992119668
BATBC,-0.49375688051715044,-0.4249366421116049,-0.49365974453170364,1.4585871819384675,0.34826698843423254,-0.09390259901549732
BATBC,-0.49366810631543384,-0.42504862608136235,-0.4935253457940402,0.5311775996028126,0.0602688026194448,-0.18495329563511925
BATBC,-0.49382029066123373,-0.4252893916163408,-0.4936267788035975,1.0355375757650238,0.1677773927377731,-0.14159987694532733
BATBC,-0.49399783906466693,-0.4252194016352424,-0.49384485977414566,0.11519846038491402,-0.1301056434367616,-0.2444471324815233
BATBC,-0.4938558003419204,-0.42523339963146206,-0.49378146414317237,0.34381022528086963,-0.10448622081255271,-0.2359297614226251
BATBC,-0.49393442892058365,-0.42525859602465754,-0.49379414326936705,0.13758827241080657,-0.11585084957820767,-0.23912377556971193
BATBC,-0.4938963828341337,-0.42524739762768177,-0.49381696569651745,0.13287462777377657,-0.13250833170426762,-0.24495817474505718
BATBC,-0.49402320312230025,-0.4252725940208772,-0.4938068223955617,0.11402004922565652,-0.13144837319780825,-0.24410643763916737
BATBC,-0.4939724750070336,-0.42526699482238933,-0.49382964482271213,0.09634388183679397,-0.12227999233588087,-0.24129570518973095
BATBC,-0.493921746891767,-0.425194205242047,-0.4938245731722342,0.4463319961362724,-0.029969923453379687,-0.21097386422005332
BATBC,-0.49387101877650036,-0.42517740764658335,-0.493758641716022,0.21536340892180178,-0.12436174390339512,-0.24312693996739407
BATBC,-0.49384565471886704,-0.42507942167304563,-0.4937434267645884,0.6195584365471253,0.04024755691887638,-0.18887128632221242
BATBC,-0.49375688051715044,-0.425107417665485,-0.4936546728812257,0.46636498584364994,0.020788384141536803,-0.1962388122881594
BATBC,-0.4937949266036004,-0.4250990188677532,-0.4936800311336151,0.26957032224764693,-0.0639718657227793,-0.2239628550848731
BATBC,-0.4937949266036004,-0.42505982447833807,-0.49367242365789826,2.3718558303630326,0.8591791320984475,0.07486910851657086
BATBC,-0.4937695625459671,-0.4252529968261696,-0.4936369221045532,0.8081042220283258,0.14773706431450243,-0.15024500857010903
BATBC,-0.493883700805317,-0.42512701486019255,-0.4938118940460396,0.6855494614655454,0.14979105919444985,-0.15020242171481452
BATBC,-0.4938101450381804,-0.4250766220738017,-0.4936977819102876,0.6643380605989104,0.22081521829911768,-0.13103833683229354
BATBC,-0.4937467348940971,-0.42497023730253214,-0.4936521370559869,1.1651628032833492,0.31003215131088735,-0.10582691849795482
BATBC,-0.49371883443070047,-0.42444951184316004,-0.49355577569690745,3.33108251399864,1.4712956282173684,0.22865024298497816
BATBC,-0.4931354611051342,-0.42459789060308867,-0.49308411220246595,1.4326621364348024,0.4040006822755082,-0.09807611083435744
BATBC,-0.49323691733566744,-0.4244691090378676,-0.49321851094012936,1.5740714755457028,0.6598618282667945,-0.02980938179728823
BATBC,-0.49323691733566744,-0.4246230869962841,-0.4931018629791385,1.4079155020903948,0.466186071183105,-0.07886943909654195
BATBC,-0.4933383735662007,-0.42468187858040674,-0.49324133336727977,0.9235885156355611,0.23578648165549113,-0.1412591821029714
BATBC,-0.493439829796734,-0.42481625934411565,-0.49329458569729734,1.037894398083539,0.27103747486539925,-0.1259705010522491
BATBC,-0.49369347037306716,-0.42480786054638386,-0.4934163053087662,0.34734545875864214,0.09698569589147765,-0.17873561476212355
BATBC,-0.49354128602726727,-0.42472107296982187,-0.4934086978330493,0.47461386395845245,0.1977285934153845,-0.14960620574069167
BATBC,-0.4934651938543673,-0.4246790789811628,-0.4933300872506424,0.8399213233282784,0.45511635722284804,-0.07593094608122207
BATBC,-0.493439829796734,-0.4246790789811628,-0.49329204987205844,-0.39976721621061484,-0.30018821608862273,-0.30296147165615406
